article_id,article_global_id,db_id
2904,10.1093/nar/gku1099,MBDC0071
2820,10.1093/nar/gku1092,MBDC1064
2863,10.1093/nar/gku1091,MBDC1319
2816,10.1093/nar/gku1088,MBDC1049
2932,10.1093/nar/gku1086,MBDC1815
2862,10.1093/nar/gku1081,MBDC1633
2811,10.1093/nar/gku1080,MBDC0591
2847,10.1093/nar/gku1076,MBDC1761
2894,10.1093/nar/gku1075,MBDC0651
2937,10.1093/nar/gku1074,MBDC1541
2919,10.1093/nar/gku1073,MBDC1452
2834,10.1093/nar/gku1072,NAR9145
2771,10.1093/nar/gku1071,MBDC0073
2868,10.1093/nar/gku1070,MBDC1819
2854,10.1093/nar/gku1068,MBDC0421
2778,10.1093/nar/gku1066,MBDC1812
2935,10.1093/nar/gku1064,MBDC1571
2804,10.1093/nar/gku1063,MBDC0382
2802,10.1093/nar/gku1062,MBDC0391
2912,10.1093/nar/gku1061,MBDC1453
2836,10.1093/nar/gku1060,MBDC1599
2855,10.1093/nar/gku1059,MBDC1774
2913,10.1093/nar/gku1057,MBDC0338
2917,10.1093/nar/gku1056,MBDC0172
2780,10.1093/nar/gku1055,NAR9193
2930,10.1093/nar/gku1054,MBDC1795
2938,10.1093/nar/gku1053,MBDC1820
2864,10.1093/nar/gku1047,MBDC1778
2806,10.1093/nar/gku1046,MBDC0224
2929,10.1093/nar/gku1045,MBDC1209
2899,10.1093/nar/gku1043,MBDC1762
1348,10.1093/nar/gku1042,MBDC1826
2931,10.1093/nar/gku1041,MBDC0285
2825,10.1093/nar/gku1040,MBDC1511
2826,10.1093/nar/gku1039,MBDC1823
2933,10.1093/nar/gku1037,MBDC1807
2839,10.1093/nar/gku1028,MBDC0268
2850,10.1093/nar/gku1026,MBDC0093
2810,10.1093/nar/gku1024,MBDC1771
2814,10.1093/nar/gku1023,MBDC1777
2891,10.1093/nar/gku1012,MBDC1476
2776,10.1093/nar/gku1011,MBDC1530
2792,10.1093/nar/gku1010,MBDC0027
2921,10.1093/nar/gku1009,MBDC1788
2890,10.1093/nar/gku1008,MBDC1829
2823,10.1093/nar/gku1007,MBDC1785
2853,10.1093/nar/gku1004,MBDC1383
2835,10.1093/nar/gku1003,MBDC0582
2824,10.1093/nar/gku1002,MBDC1210
2889,10.1093/nar/gku1001,MBDC1797
2827,10.1093/nar/gku1000,MBDC1767
2635,10.1093/nar/gkt997,MBDC0516
2640,10.1093/nar/gkt996,MBDC1681
2707,10.1093/nar/gkt984,MBDC1521
2616,10.1093/nar/gkt982,MBDC1740
2639,10.1093/nar/gkt981,MBDC1705
2719,10.1093/nar/gkt980,MBDC0272
2737,10.1093/nar/gkt979,NAR9078
2765,10.1093/nar/gkt978,NAR9197
2700,10.1093/nar/gkt977,MBDC1711
2689,10.1093/nar/gkt976,MBDC1689
2714,10.1093/nar/gkt970,MBDC0867
2658,10.1093/nar/gkt966,NAR9098
2623,10.1093/nar/gkt963,MBDC0828
2608,10.1093/nar/gkt962,MBDC1173
2718,10.1093/nar/gkt961,MBDC1695
2625,10.1093/nar/gkt960,MBDC1690
2744,10.1093/nar/gkt959,MBDC1325
2605,10.1093/nar/gkt958,MBDC1721
2730,10.1093/nar/gkt954,MBDC0015
2629,10.1093/nar/gkt953,MBDC0177
2723,10.1093/nar/gkt952,MBDC1674
2759,10.1093/nar/gkt940,MBDC0278
2631,10.1093/nar/gkt937,MBDC1723
2755,10.1093/nar/gkt933,MBDC1703
2680,10.1093/nar/gkt928,MBDC1696
2669,10.1093/nar/gkt927,MBDC1683
2671,10.1093/nar/gkt926,NAR9255
2584,10.1093/nar/gkt925,MBDC1700
2596,10.1093/nar/gkt919,MBDC0828
2597,10.1093/nar/gkt911,MBDC0491
2628,10.1093/nar/gkt905,MBDC1746
2672,10.1093/nar/gkt901,MBDC1419
2762,10.1093/nar/gkt887,MBDC0633
2749,10.1093/nar/gkt807,MBDC1712
2701,10.1093/nar/gkt1282,NAR9161
2757,10.1093/nar/gkt1274,MBDC0391
2705,10.1093/nar/gkt1270,MBDC1294
2691,10.1093/nar/gkt1268,MBDC0909
2731,10.1093/nar/gkt1266,MBDC1423
2697,10.1093/nar/gkt1264,MBDC1733
2748,10.1093/nar/gkt1255,MBDC0166
2688,10.1093/nar/gkt1254,MBDC1677
2742,10.1093/nar/gkt1253,MBDC1068
2649,10.1093/nar/gkt1252,MBDC1736
2729,10.1093/nar/gkt1251,MBDC1732
2598,10.1093/nar/gkt1250,MBDC1687
2733,10.1093/nar/gkt1248,MBDC1447
2637,10.1093/nar/gkt1247,MBDC1396
2633,10.1093/nar/gkt1246,MBDC1739
2717,10.1093/nar/gkt1245,MBDC1726
2756,10.1093/nar/gkt1244,MBDC0243
2612,10.1093/nar/gkt1243,MBDC0440
2599,10.1093/nar/gkt1242,MBDC0282
2653,10.1093/nar/gkt1241,MBDC0784
2684,10.1093/nar/gkt1240,MBDC0255
2645,10.1093/nar/gkt1229,MBDC1727
2650,10.1093/nar/gkt1226,NAR9269
2682,10.1093/nar/gkt1225,MBDC0087
2632,10.1093/nar/gkt1223,MBDC0210
2589,10.1093/nar/gkt1222,MBDC0705
2659,10.1093/nar/gkt1221,NAR9295
2627,10.1093/nar/gkt1211,MBDC1719
2713,10.1093/nar/gkt1210,MBDC1684
2686,10.1093/nar/gkt1209,MBDC1183
2761,10.1093/nar/gkt1208,MBDC0270
2673,10.1093/nar/gkt1207,MBDC1134
2709,10.1093/nar/gkt1205,MBDC0472
2595,10.1093/nar/gkt1204,MBDC1411
2614,10.1093/nar/gkt1203,MBDC1701
2708,10.1093/nar/gkt1202,MBDC1321
2758,10.1093/nar/gkt1199,MBDC1710
2703,10.1093/nar/gkt1198,MBDC1716
2607,10.1093/nar/gkt1196,MBDC0027
2711,10.1093/nar/gkt1195,NAR9115
2586,10.1093/nar/gkt1192,MBDC1693
2754,10.1093/nar/gkt1191,MBDC1735
2624,10.1093/nar/gkt1190,MBDC1734
2753,10.1093/nar/gkt1189,MBDC0413
2621,10.1093/nar/gkt1188,MBDC1720
2693,10.1093/nar/gkt1183,MBDC1704
2661,10.1093/nar/gkt1182,MBDC1531
2667,10.1093/nar/gkt1181,MBDC0529
2666,10.1093/nar/gkt1180,MBDC0456
